link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
276,PHYS 492,PHYS 492 L Senior Lab,,,,,PHYS 152,
277,PHYS 408,Electricity and Magnetism,,,MATH 245,,"PHYS 152, PHYS 162",
278,PHYS 438,Introduction to Quantum Mechanics and its Applications,,,MATH 445,,PHYS 304,
279,BISC 120,BISC 120Lg General Biology : Organismal Biology and Evolution,,"BISC 113, BISC 112, BISC 121",,,,
280,BISC 121,BISC 121Lg Advanced General Biology : Organismal Biology and Evolution,,"BISC 113, BISC 112, BISC 120",CHEM 115,,,
281,BISC 220,BISC 220Lg General Biology : Cell Biology and Physiology,,"BISC 221, BISC 111, BISC 110",,"BISC 120, BISC 121",,
282,BISC 221,BISC 221Lg Advanced General Biology : Cell Biology and Physiology,,"BISC 220, BISC 111, BISC 110","CHEM 105, CHEM 115",,"BISC 120, BISC 121",
283,BISC 320,BISC 320L Molecular Biology,,BISC 311,,,"CHEM 105, CHEM 115",csr01650
284,BISC 330,BISC 330L Biochemistry,CHEM 330,BISC 316,,,CHEM 322,
285,BISC 403,BISC 403 Advanced Molecular Biology,,,,,"BISC 325, BISC 320, BISC 313",
286,BISC 435,Advanced Biochemistry,,,,,BISC 330,
287,CHEM 107,CHEM 107Lg General Chemistry for Chemistry Majors,,"CHEM 105, CHEM 115",,,,
288,CHEM 108,CHEM 108L General Chemistry for Chemistry Majors : Kinetics and Equilibrium,,"CHEM 105, CHEM 115",,CHEM 107,,
