link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
1352,BISC 485,,,,,"CHEM 322, CHEM 325, BISC 320, BISC 221, BISC 220, BISC 120, BISC 121",
1353,BISC 499,,,,"BISC 221, BISC 220, BISC 330, BISC 320, BISC 325",,
1354,BUAD 351,,,,,"ECON 205, MATH 118, MATH 125, ECON 203",
1355,ECON 357,,,,,"ECON 205, ECON 203",
1356,ECON 457,,,,,ECON 303,"csr01078, csr00711, csr01092, csr01715, csr01091, csr01082, csr01854, csr01826"
1357,CTWR 402,,CTWR 412,,,,"csr00853, csr01505"
1358,PR 473,,JOUR 473,,,,"csr01126, csr01117"
1359,PR 491,,JOUR 491,,,,"csr01114, csr01118"
1360,ITP 442,ACAD 442,,,,ITP 140,"udc00091, csr02258, csr02259, csr01938"
1361,ITP 344,ACAD 344,,,,ITP 342,"udc00035, csr02025, csr00618, csr02415, csr01289"
1362,ITP 382,ACAD 382,,,,"CSCI 104, ITP 365","csr00554, csr00868, csr02233"
1363,MUIN 272,,MUIN 372,,,,
1364,MTEC 378,,,,,MTEC 446,
1365,SCOR 403,,,,,"MTEC 445, MUCO 133, MTEC 443",
1366,SCOR 405,,MUCO 445,,,"MTEC 445, MUCO 133, MTEC 443",csr01713
1367,MPVA 412,,,,,MPVA 402,
1368,EE 337,,EE 238,,,PHYS 152,
1369,DSO 482,,IOM 482,,,BUAD 311,"csr00320, csr00660, csr00318, csr00319, csr00316, csr01892, csr00317, csr00458"
1370,DSO 483,,IOM 483,,,BUAD 311,"csr01888, csr00465"
1371,DSO 427,,IOM 427,,BUAD 310,,
1372,ART 220,,FAPT 205,,,"FAPT 105, ART 120",
1373,ART 320,,FAPT 305,,,"ART 220, FAPT 205",
1374,ART 420,,FAPT 405,,,"FAPT 305, ART 320",
1375,PSYC 499,,,,,PSYC 100,
1376,THTR 201,,THTR 100,,,,
1377,PTE 462,,,,,PTE 461,
1378,ART 150,,FAPH 209,,,,udc00135
1379,ART 450,,FAPH 409,,,"FAPH 309, ART 350",
1380,PR 352,,,,,"PR 250, PR 209","csr01114, csr01126"
1381,CTAN 423,,CTAN 523,,,,
1382,GERO 496,,,,,"BISC 221, BISC 220",
1383,ART 242,,FASC 236,,ART 140,,
1384,ART 243,,FASC 246,,ART 140,,csr00322
1385,ART 340,,FASC 306,,,"FASC 206, ART 240",
1386,ART 440,,FASC 406,,,"FASC 306, ART 340",
1387,JOUR 380,COMM 382,,,,,
1388,JOUR 441,,,,,"JOUR 303, JOUR 302, JOUR 307",
1389,PR 453,,ASCJ 420,,,,csr01114
1390,PR 454,,JOUR 454,,,,"csr01114, csr01118, csr01115"
1391,MOR 479,,,,BUAD 304,,"csr01830, csr01045, csr02445"
1392,ENGR 509,,,,"EE 682, ISE 565",,
1393,ENGR 493,,BUAD 493,,,,
1394,ENGL 373,,ENGL 473,,,,
1395,ENGL 374,,ENGL 474,,,,
1396,ENGL 372,,ENGL 472,,,,
1397,ENGL 379,,ENGL 479,,,,
1398,ENGL 380,,ENGL 480,,,,
1399,CTIN 452,,,,,"CTIN 488, CTIN 489, CTIN 532, CTIN 541",
1400,PPD 438,,PLDV 447,,,,
1401,COMM 473,,,,,COMM 301,
1402,CSCI 534,PSYC 532,,,CSCI 561,,
1403,MDA 423,PSYC 423,,,,,"csr00864, csr00887, csr00874"
1404,ITP 391,,,,,"ITP 280, ITP 230","csr00965, csr02534, csr00300, csr01498"
1405,ITP 393,,,,,"ITP 280, ITP 230","csr00872, csr02237, csr01963, csr01963, csr00869, csr02234"
1406,ITP 491,,,,,"ITP 280, ITP 230","csr01713, csr01691, csr02212, csr01995, csr01995"
1407,CTIN 478,,,,,"CTIN 488, CTIN 483, CTIN 541",
1408,ITP 484,,,,,ITP 380,
1409,COMM 455,,,,COMM 311,,"udc00201, udc00204"
1410,HIST 245,SWMS 245,,,,,
1411,PSYC 453,,,,,PSYC 355,
1412,GSBA 504,,"GSBA 504, GSBA 534",,,,"csr01888, csr01039, csr00308, csr00879, csr01868, csr00465"
1413,GSBA 509,,"GSBA 528, GSBA 509",,,,"csr01825, csr01890, csr01831, csr01891, csr01050, udc00198, csr01035, csr01083, csr01085"
1414,GSBA 516,,"GSBA 506, GSBA 524",,,,"udc00117, csr00131, csr02397, csr00028, csr01313, csr01532, csr00954, csr00111, csr00961"
1415,GSBA 521,,"GSBA 548, GSBA 521",,GSBA 510,,"csr01038, csr01866"
1416,GSBA 533,,"GSBA 522, GSBA 543, GSBA 532",,,,"csr02516, csr01815, csr01800, csr01896"
1417,GSBA 540,,"GSBA 529, GSBA 519",,,,
1418,GSBA 542,,"GSBA 523, GSBA 502",,,,
1419,GSBA 545,,"GSBA 506, GSBA 524",,,,"csr00011, csr00920, csr01348, csr00894, csr00353, csr02505, csr00332, csr00112, csr00151"
1420,GSBA 580,,GSBA 582,,,,"csr00674, csr00772, csr00676, csr00774, csr00677, csr00775"
1421,GSBA 523,,"GSBA 542, GSBA 502",,,,
1422,GSBA 524,,"GSBA 516, GSBA 506, GSBA 545",,,,udc00167
1423,GSBA 529,,"GSBA 540, GSBA 519",,,,
1424,GSBA 518,,,,GSBA 510,,
1425,GSBA 528,,GSBA 509,,,,"csr01825, csr01890, csr01831, csr01891, csr01035, csr01834, udc00198, csr01852, csr01050, csr01851"
1426,GSBA 548,,GSBA 521,,,,"csr01038, csr01866"
1427,GSBA 549,,"GSBA 544, GSBA 526",,,,
