"id","course_name","course_url","description","image_url","provenance","subject"
"edx01080","Pre-University Calculus","https://www.edx.org/course/pre-university-calculus-delftx-calc001x-1","Prepare for Introductory Calculus courses.","https://www.edx.org/sites/default/files/course/image/featured-card/pre-university-calculus_378x225_0.jpg","Delft University of Technology (TU Delft)","Math"
"edx01081","Introduction to Philosophy: God, Knowledge and Consciousness","https://www.edx.org/course/introduction-philosophy-god-knowledge-mitx-24-00x-2","Learn how to ask and answer big questions. Pursue a verified certificate to have your work graded and commented upon by professional philosophers.","https://www.edx.org/sites/default/files/course/image/featured-card/2400x-378x225.jpg","Massachusetts Institute of Technology","Philosophy & Ethics;Humanities"
"edx01082","Big Data and Education","https://www.edx.org/course/big-data-education-pennx-bde1x","Learn the methods and strategies for using large-scale educational data to improve education and make discoveries about learning.","https://www.edx.org/sites/default/files/course/image/featured-card/bde1x-big_data_in_education-378x225b.jpg","University of Pennsylvania","Data Analysis & Statistics;Education & Teacher Training"
"edx01083","Humanity and Nature in Chinese Thought | 中国哲学思想中的人类与自然观","https://www.edx.org/course/humanity-nature-chinese-thought-zhong-hkux-hku03x","Think along with Classical Chinese masters as they explore and debate how and where we can find ethical guidance in nature. 与中国古代哲学大师们一道思索和讨论人类如何从自然界发现道德准则","https://www.edx.org/sites/default/files/course/image/featured-card/hku03x-2016-course-image_318x210.jpg","University of Hong Kong","Art & Culture;Humanities;Philosophy & Ethics"
"edx01084","Project Finance: Funding Projects Successfully","https://www.edx.org/course/project-finance-funding-projects-delftx-mep301x","Learn the key strategies used by project managers to generate crucial funding for their projects.","https://www.edx.org/sites/default/files/course/image/featured-card/citg_mep301x_edx_2120p_2.png","Delft University of Technology (TU Delft)","Economics & Finance;Business & Management;Law"
"edx01085","Socially-Responsible Real Estate Development","https://www.edx.org/course/socially-responsible-real-estate-mitx-stl-162x","Explore socially responsible real estate development, including the role of impact assessment and public consultation. ","https://www.edx.org/sites/default/files/course/image/featured-card/stl.162x_318x210.jpg","Massachusetts Institute of Technology","Social Sciences;Environmental Studies;Business & Management"
"edx01086","Atomic and Optical Physics: Ultracold Atoms and Many-body Physics","https://www.edx.org/course/atomic-optical-physics-ultracold-atoms-mitx-8-422-5x","Learn about ultracold atoms and Bose-Einstein Condensate and applications to solid-state physics and quantum information science.","https://www.edx.org/sites/default/files/course/image/featured-card/8.422.5x_banner_318x210.jpg","Massachusetts Institute of Technology","Physics"
"edx01087","Calculus 1A: Differentiation","https://www.edx.org/course/calculus-1a-differentiation-mitx-18-01-1x-0","Discover the derivative---what it is, how to compute it, and when to apply it in solving real world problems. Part 1 of 3.","https://www.edx.org/sites/default/files/course/image/featured-card/integral_calculus_378x225.jpg","Massachusetts Institute of Technology","Math"
"edx01088","English for Doing Business in Asia – Speaking","https://www.edx.org/course/english-doing-business-asia-speaking-hkustx-eba101x-3","Introducing strategies for developing your spoken English communication skills in the context of doing business in Asia.","https://www.edx.org/sites/default/files/course/image/featured-card/eba101x-banner-378x225.jpg","Hong Kong University of Science and Technology","Business & Management;Language;Humanities"
"edx01089","English for Doing Business in Asia – Writing","https://www.edx.org/course/english-doing-business-asia-writing-hkustx-eba102x-2","Introducing strategies for developing your written English communication skills in the context of doing business in Asia.","https://www.edx.org/sites/default/files/course/image/featured-card/english-for-doing-business-in-asia-writing_378x225.jpg","Hong Kong University of Science and Technology","Business & Management;Language;Humanities"
