"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"CTPR 476","Directing The Comedic Scene","Directing comedy : casting , rehearsing , directing actors , scene analysis , staging , shooting , and editing , leading to the filming of a two-person comic scene .","","","","","",""
"CTWR 324","CTWR 324 Introduction to Half-Hour Television Writing","The fundamentals of writing for comedic episodic television . Writing scenes from popular comedy series and examination of half-hour television comedy story structure .  ","CTWR 412;CTWR 413;CTWR 404","","","","",""
"ART 360","ART 360 Video Studio","An intensive video studio in the understanding and method of timebased , narrative and non-narrative art . ","ART 260;FAIN 220","","","","FAIN 320",""
"COMM 321","COMM 321 Communication and Social Media","Social media within the broader social , political , and historical contexts ; key themes include labor , Web 2 .0 , self-branding , celebrity , participation , privacy , online shaming , and activism .","","","","","","udc00200/0.392;csr02097/0.38049999999999995;csr02311/0.38049999999999995;csr00103/0.358;csr02031/0.358;csr01076/0.33849999999999997;csr01086/0.317;csr01860/0.317;udc00201/0.3095;csr00838/0.302"
"COMM 339","Communication Technology and Culture","Examination of philosophies and popular representations of technology from the origins of western culture to the present and identifies the complex attitudes toward technology .","","","","","",""
"COMM 340","The Cultures of New Media","Cultural implications of computer-mediated communication and related media . Ideological responses to media innovation ; debates over artificial intelligence , virtual communities , and virtual reality .","","COMM 339","","","",""
"COMM 375","COMM 375 Business and Professional Communication","Oral and written communication skills demanded in the workplace including informative and persuasive speeches ; interviewing ; team communication ; and training material preparation .","","COMM 204","","","",""
"DES 313","DES 313 Graphic Design in Fashion","An intensive studio and lecture course focusing on the applications of graphic design in fashion and related fields . ","DES 102;FADN 102;DES 203","","","","FADN 313","csr00855/0.415;csr01656/0.415;csr01674/0.359"
"DES 333","DES 333 New York Design Study Tour","Historical and contemporary aspects of the New York design world , including a one-week trip to New York City to visit design firms , studios and museums . Airfare and accommodations extra . By application only .","","","","","FADN 333",""
"DES 433","DES 433 International Design Study Tour","An immersive experience in the design culture of a global city or region that includes a short (two-week or less) international trip .","","","","","","khn00255/0.3105;khn00265/0.3105;khn00305/0.3105;khn00315/0.3105"
"COMM 345","Social and Economic Implications of Communication Technologies","Social and economic impacts of information and communication technologies ; social factors that shape technological change ; issues include access , privacy , freedom of expression , productivity , democratic control .","","","","","",""
"COMM 421","Legal Communication","Analytical and communicative aspects of judicial argument ; philosophy and techniques of jury trials , cross examination , and appellate advocacy ; research , preparation , and presentation of case briefs . ","COMM 322","","","","",""
